order,section,capability,method,status,sources,last_reviewed,notes
"102","Definite lattices over $\mathbf{Z}$","Definiteness predicates","compute_definiteness","done","sage_doc/test_quadraticform_static.py::test_quadraticform_compute_definiteness_sets_consistent_string","2026-02-15","classification routine described via inertia/sign data"
"103","Definite lattices over $\mathbf{Z}$","Definiteness predicates","compute_definiteness_string_by_determinants","done","sage_doc/test_quadraticform_static.py::test_quadraticform_compute_definiteness_string_expected_value","2026-02-15","determinant/minor-sign based classifier semantics added"
"104","Definite lattices over $\mathbf{Z}$","LLL reduction","LLL","done","sage_doc/test_integerlattice_static.py::test_integerlattice_lll_returns_matrix_and_sets_reduced_basis","2026-02-15","LLL algorithm contract (size reduction + Lovasz) recorded"
"105","Definite lattices over $\mathbf{Z}$","LLL reduction","lll","done","sage_doc/test_quadraticform_static.py::test_quadraticform_lll_preserves_discriminant","2026-02-15","integral-equivalence and discriminant preservation under LLL noted"
"106","Definite lattices over $\mathbf{Z}$","LLL reduction","LLL_gram","done","sage_doc/test_matrix_methods_static.py::test_matrix_lll_gram_returns_unimodular_transform","2026-02-15","Gram-mode relation U^T G U reduced with U unimodular added"
"107","Definite lattices over $\mathbf{Z}$","LLL reduction","lll_gram","done","julia_doc/test_nemo.jl::\""lll_gram: LLL on Gram matrix\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_lll_gram","2026-02-15","Gram-matrix LLL reduction semantics clarified"
"108","Definite lattices over $\mathbf{Z}$","LLL reduction","lll_with_transform","done","julia_doc/test_nemo.jl::\""lll_with_transform: returns reduced basis and transform\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_lll_with_transform","2026-02-15","explicit basis-transform identity reduced=TB added"
"109","Definite lattices over $\mathbf{Z}$","LLL reduction","lll_gram_with_transform","done","julia_doc/test_nemo.jl::\""lll_gram_with_transform: Gram LLL + transform\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_lll_gram_with_transform","2026-02-15","Gram congruence G'=TGT^T with transform output recorded"
"110","Definite lattices over $\mathbf{Z}$","LLL reduction","is_LLL_reduced","done","sage_doc/test_matrix_methods_static.py::test_matrix_is_lll_reduced_true_after_lll","2026-02-15","LLL reducedness conditions (size + Lovasz) made explicit"
"111","Definite lattices over $\mathbf{Z}$","LLL reduction","update_reduced_basis","done","sage_doc/test_integerlattice_static.py::test_integerlattice_update_reduced_basis_sets_attribute","2026-02-15","cache-refresh behavior for stored reduced basis recorded"
"112","Definite lattices over $\mathbf{Z}$","BKZ reduction","BKZ","done","sage_doc/test_integerlattice_static.py::test_integerlattice_bkz_preserves_lattice_rank","2026-02-15","BKZ as blockwise HKZ reduction on projected blocks stated"
"113","Definite lattices over $\mathbf{Z}$","HKZ reduction","HKZ","done","sage_doc/test_integerlattice_static.py::test_integerlattice_hkz_preserves_rank","2026-02-15","HKZ as full-rank/block-size BKZ equivalence recorded"
"114","Definite lattices over $\mathbf{Z}$","Shortest vector norm","minimum","done","sage_doc/test_integrallattice_static.py::test_integrallattice_minimum_extremes_by_signature","2026-02-15","lambda_1(L)^2 definition added (with tested conventions note)"
"115","Definite lattices over $\mathbf{Z}$","Shortest vector norm","min","done","sage_doc/test_integrallattice_static.py::test_integrallattice_min_alias_matches_minimum","2026-02-15","alias to minimum invariant noted"
"116","Definite lattices over $\mathbf{Z}$","Maximal represented norm (enumerated set)","maximum","done","sage_doc/test_integrallattice_static.py::test_integrallattice_maximum_extremes_by_signature","2026-02-15","interpreted as maximum over finite enumerated vector set"
"117","Definite lattices over $\mathbf{Z}$","Maximal represented norm (enumerated set)","max","done","sage_doc/test_integrallattice_static.py::test_integrallattice_max_alias_matches_maximum","2026-02-15","alias to maximum noted"
"118","Definite lattices over $\mathbf{Z}$","Shortest vector computation","shortest_vector","done","sage_doc/test_integerlattice_static.py::test_integerlattice_shortest_vector_has_expected_norm_rank_one","2026-02-15","exact SVP minimizer definition added"
"119","Definite lattices over $\mathbf{Z}$","Shortest vector computation","shortest_vectors","done","julia_doc/test_zzlat_enumeration.jl::\""shortest_vectors: A2 minimum norm is 2\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_shortest_vectors","2026-02-15","minimal shell {(v,v)=lambda1^2} interpretation added"
"120","Definite lattices over $\mathbf{Z}$","Shortest vector computation","short_vectors","done","sage_doc/test_integrallattice_static.py::test_integrallattice_short_vectors_contains_minimal_vector","2026-02-15","norm-bound enumeration (often grouped by norm) recorded"
"121","Definite lattices over $\mathbf{Z}$","Shortest vector computation","enumerate_short_vectors","done","sage_doc/test_integrallattice_static.py::test_integrallattice_enumerate_short_vectors_iterator_nonempty","2026-02-15","iterator ordering by nondecreasing norm stated"
"122","Definite lattices over $\mathbf{Z}$","Shortest vector computation","short_primitive_vector_list_up_to_length","done","sage_doc/test_quadraticform_static.py::test_quadraticform_short_primitive_vector_list_subset_of_short_vectors","2026-02-15","primitive condition gcd(coords)=1 with length bound noted"
"123","Definite lattices over $\mathbf{Z}$","Shortest vector computation","short_vector_list_up_to_length","done","sage_doc/test_quadraticform_static.py::test_quadraticform_short_vector_list_up_to_length_zero_contains_none","2026-02-15","length-bounded list without primitive filter clarified"
"124","Definite lattices over $\mathbf{Z}$","Shortest vector computation","basis_of_short_vectors","done","sage_doc/test_quadraticform_static.py::test_quadraticform_basis_of_short_vectors_has_minimal_norm","2026-02-15","short-vector selected basis semantics documented"
"125","Definite lattices over $\mathbf{Z}$","Shortest vector computation","vectors_by_length","done","sage_doc/test_quadraticform_static.py::test_quadraticform_vectors_by_length_zero_shell_is_zero_vector","2026-02-15","shell decomposition by represented value added"
"126","Definite lattices over $\mathbf{Z}$","Closest vector computation","closest_vector","done","sage_doc/test_integerlattice_static.py::test_integerlattice_closest_vector_exact_rank_one","2026-02-15","exact CVP minimization definition added"
"127","Definite lattices over $\mathbf{Z}$","Closest vector computation","close_vectors","done","julia_doc/test_zzlat_enumeration.jl::\""close_vectors: finds vectors near target\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_close_vectors","2026-02-15","distance-ball enumeration ||t-x||^2 ≤ B stated"
"128","Definite lattices over $\mathbf{Z}$","Closest vector computation","enumerate_close_vectors","done","sage_doc/test_integrallattice_static.py::test_integrallattice_enumerate_close_vectors_returns_candidate","2026-02-15","distance-ordered close-vector iterator semantics added"
"129","Definite lattices over $\mathbf{Z}$","Closest vector computation","approximate_closest_vector","done","sage_doc/test_integerlattice_static.py::test_integerlattice_approximate_closest_vector_returns_lattice_vector","2026-02-15","approximate/heuristic CVP output semantics added"
"130","Definite lattices over $\mathbf{Z}$","Closest vector computation","babai","done","sage_doc/test_integerlattice_static.py::test_integerlattice_babai_returns_lattice_vector_rank_one","2026-02-15","nearest-plane rounding algorithm semantics added"
"131","Definite lattices over $\mathbf{Z}$","Voronoi-cell algorithms","voronoi_cell","done","sage_doc/test_integerlattice_static.py::test_integerlattice_voronoi_cell_has_vertices","2026-02-15","Dirichlet-Voronoi polytope definition added"
"132","Definite lattices over $\mathbf{Z}$","Voronoi-cell algorithms","voronoi_relevant_vectors","done","sage_doc/test_integerlattice_static.py::test_integerlattice_voronoi_relevant_vectors_nonempty","2026-02-15","facet-defining bisector vectors for Voronoi cell recorded"
"133","Definite lattices over $\mathbf{Z}$","Kissing number","kissing_number","done","julia_doc/test_zzlat_enumeration.jl::\""kissing_number: A2 kissing number is 6\"", julia_doc/test_zzlat_enumeration.jl::\""kissing_number: E8 kissing number is 240\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_kissing_number","2026-02-15","tau(L)=|{v:(v,v)=lambda1^2}| formula added"
"134","Indefinite lattices and genera","Hasse-Witt invariants","hasse_invariant","done","sage_doc/test_quadraticform_static.py::test_quadraticform_hasse_invariant_comparison_with_omeara","2026-02-15","local symbol epsilon_p in {±1} via Hilbert-symbol product noted"
"135","Indefinite lattices and genera","Hasse-Witt invariants","hasse_invariant__OMeara","done","sage_doc/test_quadraticform_static.py::test_quadraticform_hasse_invariant_omeara_sign_value","2026-02-15","O'Meara convention variant for local Hasse symbol recorded"
"136","Indefinite lattices and genera","Hasse-Witt invariants","witt_invariant","done","julia_doc/test_zzlat_automorphism.jl::\""witt_invariant: A2 at prime 2\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_witt_invariant","2026-02-15","local Witt-class sign/invariant semantics clarified"
"137","Indefinite lattices and genera","Hasse-Witt invariants","hasse_conductor","done","sage_doc/test_quadraticform_static.py::test_quadraticform_hasse_conductor_positive","2026-02-15","definition as product of bad-Hasse primes added"
"138","Indefinite lattices and genera","Genus object and representatives","genus","done","sage_doc/test_torsionquadraticmodule_static.py::test_tqm_genus_matches_discriminant_cardinality_for_valid_signature","2026-02-15","genus as set of forms/lattices locally isometric everywhere"
"139","Indefinite lattices and genera","Genus object and representatives","representative","done","sage_doc/test_genus_static.py::test_genus_representative_preserves_dimension","2026-02-15","single integral Gram representative semantics recorded"
"140","Indefinite lattices and genera","Genus object and representatives","representatives","done","sage_doc/test_genus_static.py::test_genus_representatives_returns_nonempty_same_rank_matrices","2026-02-15","multi-representative class list semantics clarified"
"141","Indefinite lattices and genera","Genus object and representatives","rational_representative","done","sage_doc/test_genus_static.py::test_genus_rational_representative_shape","2026-02-15","Q-isometry class representative semantics added"
"142","Indefinite lattices and genera","Genus object and representatives","quadratic_space","done","julia_doc/test_zzgenus.jl::\""quadratic_space: genus quadratic space\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_quadratic_space","2026-02-15","ambient rational quadratic space association stated"
"143","Indefinite lattices and genera","Genus object and representatives","genera","done","sage_doc/test_quadraticform_static.py::test_quadraticform_genera_nonempty_for_signature_and_det","2026-02-15","enumeration by prescribed global invariants (sig_pair, determinant)"
"144","Indefinite lattices and genera","Genus-membership predicate","is_genus","done","sage_doc/test_torsionquadraticmodule_static.py::test_tqm_is_genus_true_exactly_for_valid_signature_example","2026-02-15","global genus-existence consistency predicate clarified"
"145","Indefinite lattices and genera","Genus mass","mass","done","sage_doc/test_genus_static.py::test_genus_mass_positive_rational","2026-02-15","Minkowski-Siegel sum over classes 1/|Aut(L')| added"
"146","Indefinite lattices and genera","Genus mass","mass__by_Siegel_densities","done","sage_doc/test_quadraticform_static.py::test_quadraticform_mass_by_siegel_densities_positive","2026-02-15","Siegel product/local-density mass computation noted"
"147","Indefinite lattices and genera","Genus mass","mass_at_two_by_counting_mod_power","done","sage_doc/test_quadraticform_static.py::test_quadraticform_mass_at_two_by_counting_mod_power_positive","2026-02-15","2-adic local factor via mod-2^k congruence counts"
"148","Indefinite lattices and genera","Genus mass","shimura_mass__maximal","done","sage_doc/test_quadraticform_static.py::test_quadraticform_shimura_mass_maximal_returns_none_for_nonmaximal_case","2026-02-15","maximal-lattice Shimura mass specialization noted"
"149","Indefinite lattices and genera","Genus mass","siegel_product","done","sage_doc/test_quadraticform_static.py::test_quadraticform_siegel_product_raises_for_nonsquare_root_rationality","2026-02-15","Siegel-product evaluation domain dependence clarified"
"150","Indefinite lattices and genera","Genus mass","GHY_mass__maximal","done","sage_doc/test_quadraticform_static.py::test_quadraticform_GHY_mass_maximal_returns_none_for_nonmaximal_case","2026-02-15","GHY maximal-mass specialization documented"
"151","Indefinite lattices and genera","Genus mass","Kitaoka_mass_at_2","done","sage_doc/test_quadraticform_static.py::test_quadraticform_Kitaoka_mass_at_2_positive","2026-02-15","2-adic local factor via Kitaoka formula noted"
"152","Indefinite lattices and genera","Genus mass","Pall_mass_density_at_odd_prime","done","sage_doc/test_quadraticform_static.py::test_quadraticform_Pall_mass_density_at_odd_prime_positive","2026-02-15","odd-prime Pall local density semantics added"
"153","Indefinite lattices and genera","Genus mass","Watson_mass_at_2","done","sage_doc/test_quadraticform_static.py::test_quadraticform_Watson_mass_at_2_positive","2026-02-15","Watson normalization at p=2 recorded"
"154","Indefinite lattices and genera","Genus mass","conway_mass","done","sage_doc/test_quadraticform_static.py::test_quadraticform_conway_mass_positive","2026-02-15","Conway-Sloane mass normalization semantics added"
"155","Indefinite lattices and genera","Genus mass","conway_p_mass","done","sage_doc/test_quadraticform_static.py::test_quadraticform_conway_p_mass_positive_at_three","2026-02-15","local prime factor in Conway mass product noted"
"156","Indefinite lattices and genera","Genus mass","conway_standard_mass","done","sage_doc/test_quadraticform_static.py::test_quadraticform_conway_standard_mass_positive","2026-02-15","Conway standard/reference mass semantics added"
"157","Indefinite lattices and genera","Genus mass","conway_standard_p_mass","done","sage_doc/test_quadraticform_static.py::test_quadraticform_conway_standard_p_mass_positive_at_three","2026-02-15","prime-local factor in Conway standard mass product noted"
"158","Indefinite lattices and genera","Genus local symbols","local_symbols","done","sage_doc/test_genus_static.py::test_genus_local_symbols_nonempty_for_nonsingular_example","2026-02-15","set of relevant p-adic genus/Jordan symbols noted"
"159","Indefinite lattices and genera","Genus local symbols","local_symbol","done","sage_doc/test_genus_static.py::test_genus_local_symbol_returns_prime_data","2026-02-15","single-prime local symbol extraction semantics added"
"160","Indefinite lattices and genera","Genus local symbols","global_genus_symbol","done","sage_doc/test_quadraticform_static.py::test_quadraticform_global_genus_symbol_determinant_matches","2026-02-15","global symbol aggregates local genus data across places"
"161","Indefinite lattices and genera","Genus local symbols","local_genus_symbol","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_genus_symbol_returns_symbol","2026-02-15","p-adic genus symbol extraction semantics added"
"162","Indefinite lattices and genera","Genus local symbols","CS_genus_symbol_list","done","sage_doc/test_quadraticform_static.py::test_quadraticform_CS_genus_symbol_list_nonempty","2026-02-15","Conway-Sloane local symbol list semantics added"
"163","Indefinite lattices and genera","Genus local symbols","Genus_Symbol_p_adic_ring.compartments","done","sage_doc/test_quadraticform_static.py::test_quadraticform_genus_symbol_compartments_match_known_2adic_partition","2026-02-15","2-adic Conway-Sloane compartment partition semantics added"
"164","Indefinite lattices and genera","Genus local-density congruence algorithms","local_density","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_density_agrees_with_congruence_at_sample","2026-02-15","local representation density alpha_p(m,Q) semantics added"
"165","Indefinite lattices and genera","Genus local-density congruence algorithms","local_primitive_density","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_primitive_density_agrees_with_congruence","2026-02-15","primitive p-adic density alpha_p^prim semantics added"
"166","Indefinite lattices and genera","Genus local-density congruence algorithms","local_representation_conditions","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_representation_conditions_mentions_exception_prime","2026-02-15","local representability congruence/valuation condition summary added"
"167","Indefinite lattices and genera","Genus local-density congruence algorithms","local_bad_density_congruence","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_bad_density_equals_sum_of_I_and_II","2026-02-15","bad-density decomposition bad = badI + badII recorded"
"168","Indefinite lattices and genera","Genus local-density congruence algorithms","local_good_density_congruence","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_good_density_even_odd_helpers_on_sample","2026-02-15","good-density term with parity-refined helpers noted"
"169","Indefinite lattices and genera","Genus local-density congruence algorithms","local_zero_density_congruence","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_zero_density_congruence_zero_at_sample","2026-02-15","zero-type local density component semantics added"
"170","Indefinite lattices and genera","Genus local-density congruence algorithms","local_badI_density_congruence","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_badI_density_congruence_zero_at_sample","2026-02-15","bad-I summand semantics documented"
"171","Indefinite lattices and genera","Genus local-density congruence algorithms","local_badII_density_congruence","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_badII_density_congruence_zero_at_sample","2026-02-15","bad-II summand semantics documented"
"172","Indefinite lattices and genera","Genus local-density congruence algorithms","local_density_congruence","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_density_congruence_matches_local_density","2026-02-15","alpha_p via mod-p^k congruence-counting formulas"
"173","Indefinite lattices and genera","Genus local-density congruence algorithms","local_good_density_congruence_even","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_good_density_congruence_even_zero_at_sample","2026-02-15","p=2 even good-type contribution semantics added"
"174","Indefinite lattices and genera","Genus local-density congruence algorithms","local_good_density_congruence_odd","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_good_density_congruence_odd_zero_at_sample","2026-02-15","odd-prime good-type contribution semantics added"
"175","Indefinite lattices and genera","Genus local-density congruence algorithms","local_primitive_density_congruence","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_primitive_density_congruence_zero_at_sample","2026-02-15","primitive congruence-counting local density semantics added"
"176","Indefinite lattices and genera","Genus prime support","primes","done","julia_doc/test_zzgenus.jl::\""primes: list of primes in genus\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_primes","2026-02-15","support-prime set for nontrivial local invariants added"
"177","Indefinite lattices and genera","Genus spinor data","spinor_generators","done","sage_doc/test_genus_static.py::test_genus_spinor_generators_nonempty_for_proper_and_improper","2026-02-15","proper/improper spinor-kernel generator semantics clarified"
"178","Indefinite lattices and genera","Representation predicates","represents","done","julia_doc/test_zzgenus.jl::\""represents: genus representation\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_represents","2026-02-15","representation decision semantics clarified for source/target objects"
"179","Indefinite lattices and genera","Representation predicates","is_locally_represented_number","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_representation_methods_agree_on_sample","2026-02-15","all-local-places solvability of Q(x)=n stated"
"180","Indefinite lattices and genera","Representation predicates","is_locally_represented_number_at_place","done","sage_doc/test_quadraticform_static.py::test_quadraticform_is_locally_represented_number_at_place_true_sample","2026-02-15","single-place local solvability of Q(x)=n stated"
"181","Indefinite lattices and genera","Representation predicates","is_locally_universal_at_prime","done","sage_doc/test_quadraticform_static.py::test_quadraticform_is_locally_universal_at_prime_true_sample","2026-02-15","universality at fixed local prime p clarified"
"182","Indefinite lattices and genera","Representation predicates","is_locally_universal_at_all_primes","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_universality_methods_detect_nonuniversal_case","2026-02-15","all-finite-prime universality semantics added"
"183","Indefinite lattices and genera","Representation predicates","is_locally_universal_at_all_places","done","sage_doc/test_quadraticform_static.py::test_quadraticform_is_locally_universal_at_all_places_false_example","2026-02-15","all-place (finite + archimedean) universality semantics added"
"184","Indefinite lattices and genera","Anisotropy/isotropy predicates","is_anisotropic","done","sage_doc/test_quadraticform_static.py::test_quadraticform_is_anisotropic_and_is_isotropic_complement_at_prime","2026-02-15","no nonzero local isotropic vector criterion added"
"185","Indefinite lattices and genera","Anisotropy/isotropy predicates","is_isotropic","done","sage_doc/test_quadraticform_static.py::test_quadraticform_is_isotropic_true_at_two","2026-02-15","existence of nonzero local solution to Q(x)=0 stated"
"186","Indefinite lattices and genera","Anisotropy/isotropy predicates","anisotropic_primes","done","sage_doc/test_quadraticform_static.py::test_quadraticform_anisotropic_primes_contains_three","2026-02-15","finite-prime anisotropy support set semantics added"
"187","Hyperbolic lattices and root data","Hyperbolicity predicate","is_hyperbolic","done","sage_doc/test_quadraticform_static.py::test_quadraticform_is_hyperbolic_false_at_two_for_example","2026-02-15","local hyperbolic-plane decomposition criterion added"
"188","Hyperbolic lattices and root data","Root-system scalar product and roots","scalar","done","sage_doc/test_rootsystem_static.py::test_rootsystem_simple_root_scalar_recovers_cartan_entry","2026-02-15","Cartan pairing <alpha_i,alpha_j^vee>=a_ji recorded"
"189","Hyperbolic lattices and root data","Root-system scalar product and roots","positive_roots","done","sage_doc/test_rootsystem_static.py::test_rootsystem_positive_roots_count_matches_type_a2","2026-02-15","positive root set Phi^+ via nonnegative simple-root coefficients"
"190","Hyperbolic lattices and root data","Root-system scalar product and roots","highest_root","done","sage_doc/test_rootsystem_static.py::test_rootsystem_highest_root_is_positive","2026-02-15","maximal positive root in root poset recorded"
"191","Hyperbolic lattices and root data","Root-system scalar product and roots","to_ambient_space_morphism","done","sage_doc/test_rootsystem_static.py::test_rootsystem_to_ambient_space_morphism_preserves_parent","2026-02-15","canonical embedding morphism Q -> ambient root-space realization"
"192","Hyperbolic lattices and root data","Root-system scalar product and roots","to_coroot_space_morphism","done","sage_doc/test_rootsystem_static.py::test_rootsystem_to_coroot_space_morphism_preserves_parent","2026-02-15","canonical root-to-coroot morphism semantics added"
"193","Finite quadratic modules","Finite quadratic module cardinality and generators","cardinality","done","sage_doc/test_torsionquadraticmodule_static.py::test_tqm_cardinality_matches_rank_one_discriminant","2026-02-15","module order |A| semantics added"
"194","Finite quadratic modules","Finite quadratic module cardinality and generators","gens","done","sage_doc/test_groupofisometries_static.py::test_groupofisometries_generators_are_isometries","2026-02-15","generic generator-set semantics clarified for context object"
"195","Finite quadratic modules","Finite quadratic module cardinality and generators","element_class","done","sage_doc/test_rootsystem_static.py::test_rootsystem_element_class_matches_element_parent","2026-02-15","element runtime class binding semantics added"
"196","Finite quadratic modules","Finite quadratic module cardinality and generators","Element","done","sage_doc/test_rootsystem_static.py::test_rootsystem_Element_constructor_builds_parent_element","2026-02-15","constructor-class semantics for parent elements recorded"
"197","Finite quadratic modules","Finite quadratic module Gram forms","gram_matrix_bilinear","done","sage_doc/test_torsionquadraticmodule_static.py::test_tqm_gram_matrix_bilinear_is_square","2026-02-15","bilinear Gram entries b(g_i,g_j) definition added"
"198","Finite quadratic modules","Finite quadratic module Gram forms","gram_matrix_quadratic","done","sage_doc/test_torsionquadraticmodule_static.py::test_tqm_gram_matrix_quadratic_has_same_shape_as_bilinear","2026-02-15","quadratic-value matrix semantics in chosen generator basis"
"199","Finite quadratic modules","Finite quadratic module Gram forms","value_module","done","sage_doc/test_torsionquadraticmodule_static.py::test_tqm_value_modules_are_defined","2026-02-15","bilinear-value codomain module semantics added"
"200","Finite quadratic modules","Finite quadratic module Gram forms","value_module_qf","done","sage_doc/test_torsionquadraticmodule_static.py::test_tqm_value_module_qf_defined","2026-02-15","quadratic-value codomain module semantics added"
"201","Finite quadratic modules","Finite quadratic module decomposition","primary_part","done","sage_doc/test_torsionquadraticmodule_static.py::test_tqm_primary_part_of_two_group_is_itself","2026-02-15","p-primary subgroup (killed by p^n) semantics added"
"202","Finite quadratic modules","Finite quadratic module decomposition","all_submodules","done","sage_doc/test_torsionquadraticmodule_static.py::test_tqm_all_submodules_nonempty","2026-02-15","full submodule/subgroup enumeration semantics recorded"
"203","Finite quadratic modules","Finite quadratic module decomposition","orthogonal_submodule_to","done","sage_doc/test_torsionquadraticmodule_static.py::test_tqm_orthogonal_submodule_to_self_is_nonempty","2026-02-15","finite-module orthogonal complement S^⊥ semantics added"
"204","Finite quadratic modules","Finite quadratic module decomposition","submodule_with_gens","done","sage_doc/test_torsionquadraticmodule_static.py::test_tqm_submodule_with_gens_cardinality_bound","2026-02-15","generated submodule <g_1,...,g_r> semantics added"
"205","Finite quadratic modules","Finite quadratic module decomposition","normal_form","done","sage_doc/test_torsionquadraticmodule_static.py::test_tqm_normal_form_returns_module","2026-02-15","canonical isomorphism-class representative semantics added"
"206","Finite quadratic modules","Finite quadratic module Brown invariant","brown_invariant","done","sage_doc/test_torsionquadraticmodule_static.py::test_tqm_brown_invariant_is_defined_mod_8","2026-02-15","Brown invariant Br(A,q) in Z/8Z added"
"207","Finite quadratic modules","Finite quadratic module structure invariants","invariants","done","sage_doc/test_torsionquadraticmodule_static.py::test_tqm_invariants_rank_one_even_lattice","2026-02-15","finite abelian invariant-factor semantics added"
"208","Finite quadratic modules","Primary/elementary p-component predicates","is_primary_with_prime","done","julia_doc/test_zzlat_attributes.jl::\""is_primary_with_prime\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_is_primary_with_prime","2026-02-15","p-primary criterion (orders powers of p) added"
"209","Finite quadratic modules","Primary/elementary p-component predicates","is_elementary_with_prime","done","julia_doc/test_zzlat_attributes.jl::\""is_elementary_with_prime\"", julia_pytest/test_oscar_bridge_static.py::test_julia_bridge_is_elementary_with_prime","2026-02-15","elementary-abelian p-primary criterion added"
"210","Finite quadratic modules","Matrix/FQM ring-change operations","base_ring","done","sage_doc/test_matrix_methods_static.py::test_matrix_base_ring_is_zz","2026-02-15","defining coefficient ring semantics clarified"
"211","Finite quadratic modules","Matrix/FQM ring-change operations","change_ring","done","sage_doc/test_quadraticform_static.py::test_quadraticform_change_ring_to_qq_preserves_dimension","2026-02-15","base-change/coercion semantics to target ring R added"
"212","Quadratic forms over $\mathbf{Z}$","Quadratic form matrix alias","matrix","done","sage_doc/test_quadraticform_static.py::test_quadraticform_gram_and_hessian_relation","2026-02-15","Hessian normalization Q(x)=1/2 x^T A x and A=2G added"
"213","Quadratic forms over $\mathbf{Z}$","Quadratic form Gram matrix","Gram_matrix","done","sage_doc/test_quadraticform_static.py::test_quadraticform_Gram_matrix_half_of_matrix","2026-02-15","Gram/Hessian relation Q=x^T G x and A=2G recorded"
"214","Quadratic forms over $\mathbf{Z}$","Quadratic form Hessian matrix","Hessian_matrix","done","sage_doc/test_quadraticform_static.py::test_quadraticform_Hessian_matrix_matches_matrix_method","2026-02-15","explicit Hessian accessor equivalence to matrix() added"
"215","Quadratic forms over $\mathbf{Z}$","Rational Gram matrix","Gram_matrix_rational","done","sage_doc/test_quadraticform_static.py::test_quadraticform_Gram_matrix_rational_has_expected_entries","2026-02-15","rational-field coercion semantics for Gram entries added"
"216","Quadratic forms over $\mathbf{Z}$","Rational diagonalization of a quadratic form","rational_diagonal_form","done","sage_doc/test_quadraticform_static.py::test_quadraticform_rational_diagonal_form_preserves_rank","2026-02-15","Q-isometry diagonalization Q ~_Q <a1,...,an> recorded"
"217","Quadratic forms over $\mathbf{Z}$","Integrality of Gram matrix","has_integral_Gram_matrix","done","sage_doc/test_quadraticform_static.py::test_quadraticform_has_integral_gram_matrix_true_for_integer_form","2026-02-15","integral-entry predicate for Gram matrix added"
"218","Quadratic forms over $\mathbf{Z}$","Quadratic form polynomial model","polynomial","done","sage_doc/test_binaryqf_static.py::test_binaryqf_polynomial_evaluates_like_form","2026-02-15","polynomial model f(x) equivalent to quadratic form map"
"219","Quadratic forms over $\mathbf{Z}$","Quadratic form polynomial model","from_polynomial","done","sage_doc/test_quadraticform_static.py::test_quadraticform_from_polynomial_roundtrip","2026-02-15","reconstruction of quadratic form from homogeneous degree-2 polynomial"
"220","Quadratic forms over $\mathbf{Z}$","Quadratic form polynomial model","coefficients","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_coefficients_length_is_six","2026-02-15","ordered coefficient tuple semantics clarified"
"221","Quadratic forms over $\mathbf{Z}$","Quadratic form polynomial model","coefficient","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_coefficient_matches_coefficients_entry","2026-02-15","single-index coefficient accessor semantics aligned with coefficients()"
"222","Quadratic forms over $\mathbf{Z}$","Quadratic form content and primitiveness","content","done","sage_doc/test_binaryqf_static.py::test_binaryqf_content_matches_coefficient_gcd","2026-02-15","content as gcd of all integral coefficients"
"223","Quadratic forms over $\mathbf{Z}$","Quadratic form content and primitiveness","primitive","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_primitive_has_unit_content_after_normalization","2026-02-15","primitive normalization Q/content(Q) semantics added"
"224","Quadratic forms over $\mathbf{Z}$","Quadratic form content and primitiveness","divisor","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_divisor_divides_all_coefficients","2026-02-15","common-divisor invariant semantics clarified"
"225","Matrix algorithms","Matrix arithmetic invariants","gcd","done","sage_doc/test_matrix_methods_static.py::test_matrix_gcd_divides_all_entries","2026-02-15","recategorized: matrix entrywise gcd method"
"226","Quadratic forms over $\mathbf{Z}$","Quadratic form local neighbors","find_p_neighbors","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_find_p_neighbors_returns_requested_count_or_more","2026-02-15","Kneser p-neighbor graph adjacency semantics added"
